order_id,customer_id,store_id,order_amount,order_date
1,57,10,1458.4,2026-04-05 07:05:07.913206
2,76,3,4699.75,2026-03-12 07:05:07.913217
3,60,16,1184.8,2025-10-18 07:05:07.913222
4,42,18,2628.44,2025-05-10 07:05:07.913225
5,88,4,1305.77,2025-05-05 07:05:07.913228
6,44,4,671.17,2026-03-22 07:05:07.913231
7,56,17,884.92,2026-03-03 07:05:07.913233
8,23,14,2534.96,2025-10-13 07:05:07.913236
9,15,13,3341.77,2025-05-21 07:05:07.913239
10,54,15,1470.23,2025-07-07 07:05:07.913241
11,48,10,356.55,2025-10-16 07:05:07.913243
12,71,18,1431.45,2025-05-11 07:05:07.913246
13,1,6,4739.77,2025-11-27 07:05:07.913248
14,14,2,4034.42,2025-08-13 07:05:07.913250
15,20,3,4131.78,2026-03-24 07:05:07.913252
16,56,20,4728.53,2025-09-29 07:05:07.913255
17,23,11,533.5,2026-03-02 07:05:07.913257
18,5,14,4557.38,2026-02-07 07:05:07.913259
19,88,19,489.48,2025-12-27 07:05:07.913262
20,92,6,848.88,2025-05-23 07:05:07.913264
21,85,18,4819.81,2025-08-22 07:05:07.913267
22,93,18,4632.24,2025-12-03 07:05:07.913269
23,8,5,2376.55,2025-12-15 07:05:07.913271
24,17,2,1343.27,2026-03-30 07:05:07.913273
25,24,7,3450.22,2025-08-06 07:05:07.913276
26,68,13,4879.49,2025-12-31 07:05:07.913278
27,25,5,3718.05,2025-06-18 07:05:07.913281
28,61,3,1629.01,2025-08-27 07:05:07.913284
29,30,18,3969.55,2025-07-26 07:05:07.913286
30,53,3,308.31,2025-06-26 07:05:07.913288
31,91,14,2119.5,2025-09-28 07:05:07.913290
32,85,5,4163.44,2025-04-16 07:05:07.913292
33,95,6,3429.46,2026-01-09 07:05:07.913295
34,10,17,4043.96,2026-03-15 07:05:07.913297
35,35,14,4158.17,2025-07-22 07:05:07.913299
36,34,8,707.05,2025-09-13 07:05:07.913301
37,63,13,750.22,2025-12-09 07:05:07.913303
38,84,14,1431.97,2025-07-11 07:05:07.913305
39,50,17,1632.22,2025-09-15 07:05:07.913307
40,57,14,2249.01,2025-12-03 07:05:07.913309
41,5,4,3057.98,2025-05-17 07:05:07.913312
42,33,5,4183.01,2025-09-12 07:05:07.913314
43,94,5,4872.23,2026-02-25 07:05:07.913316
44,65,14,4352.34,2025-04-17 07:05:07.913318
45,6,19,1357.35,2026-01-03 07:05:07.913320
46,94,14,2606.92,2026-03-12 07:05:07.913323
47,96,6,2484.2,2025-09-25 07:05:07.913325
48,77,9,3343.54,2025-09-02 07:05:07.913327
49,91,2,4562.73,2025-12-27 07:05:07.913329
50,13,18,1782.72,2025-12-02 07:05:07.913331
51,50,18,2039.87,2026-03-13 07:05:07.913333
52,68,1,2183.59,2025-12-26 07:05:07.913335
53,78,8,4355.36,2025-06-22 07:05:07.913339
54,50,14,670.16,2025-10-31 07:05:07.913342
55,3,13,1867.08,2025-06-25 07:05:07.913345
56,39,20,710.68,2025-09-22 07:05:07.913347
57,90,16,2964.03,2026-02-03 07:05:07.913350
58,82,10,996.06,2025-12-14 07:05:07.913352
59,24,16,1697.57,2026-02-17 07:05:07.913354
60,99,12,1056.59,2026-02-24 07:05:07.913356
61,80,16,4674.96,2025-11-08 07:05:07.913358
62,93,13,3764.86,2025-05-22 07:05:07.913361
63,35,14,4230.97,2025-11-28 07:05:07.913364
64,35,4,2392.03,2026-01-13 07:05:07.913366
65,9,17,1393.07,2025-07-05 07:05:07.913368
66,82,4,2561.53,2025-07-25 07:05:07.913370
67,35,15,4129.97,2025-05-12 07:05:07.913372
68,31,11,2960.45,2025-05-18 07:05:07.913375
69,43,9,2875.83,2025-11-02 07:05:07.913377
70,70,3,3166.77,2025-07-03 07:05:07.913379
71,62,7,4432.55,2025-11-16 07:05:07.913381
72,76,10,2222.51,2025-06-13 07:05:07.913384
73,9,15,1627.54,2025-06-11 07:05:07.913386
74,87,14,1217.13,2025-06-18 07:05:07.913388
75,58,8,635.09,2026-03-30 07:05:07.913391
76,42,12,649.28,2026-04-14 07:05:07.913393
77,58,19,2490.28,2026-01-06 07:05:07.913395
78,62,11,2750.81,2026-04-03 07:05:07.913397
79,58,2,289.13,2025-07-01 07:05:07.913399
80,81,7,3469.58,2025-12-01 07:05:07.913402
81,89,8,3033.06,2025-12-31 07:05:07.913404
82,86,12,1815.95,2025-12-12 07:05:07.913406
83,8,16,4579.53,2026-01-23 07:05:07.913408
84,60,3,1775.3,2026-02-12 07:05:07.913410
85,22,17,2348.28,2025-05-25 07:05:07.913412
86,53,10,3845.8,2026-03-10 07:05:07.913415
87,32,13,1868.75,2026-03-31 07:05:07.913417
88,97,1,2030.99,2026-01-31 07:05:07.913419
89,6,13,4220.62,2025-10-15 07:05:07.913421
90,47,10,3888.73,2025-09-11 07:05:07.913424
91,89,4,980.18,2025-04-24 07:05:07.913426
92,55,1,3840.87,2025-10-27 07:05:07.913428
93,88,12,2401.81,2025-08-28 07:05:07.913430
94,74,3,935.4,2025-09-03 07:05:07.913433
95,11,5,4384.9,2025-12-25 07:05:07.913435
96,5,9,3887.58,2026-01-24 07:05:07.913437
97,1,19,875.86,2025-04-29 07:05:07.913439
98,10,5,763.47,2025-07-07 07:05:07.913442
99,52,1,2044.28,2025-11-28 07:05:07.913444
100,3,15,4170.16,2025-07-13 07:05:07.913446
