customer_id,name,total_orders,total_spent
13,Customer_13,1,1782.72
68,Customer_68,2,7063.08
6,Customer_6,2,5577.97
23,Customer_23,2,3068.46
56,Customer_56,2,5613.45
91,Customer_91,2,6682.23
52,Customer_52,1,2044.28
48,Customer_48,1,356.55
32,Customer_32,1,1868.75
58,Customer_58,3,3414.50
55,Customer_55,1,3840.87
33,Customer_33,1,4183.01
97,Customer_97,1,2030.99
96,Customer_96,1,2484.20
63,Customer_63,1,750.22
61,Customer_61,1,1629.01
3,Customer_3,2,6037.24
89,Customer_89,2,4013.24
76,Customer_76,2,6922.26
30,Customer_30,1,3969.55
62,Customer_62,2,7183.36
74,Customer_74,1,935.40
9,Customer_9,2,3020.61
87,Customer_87,1,1217.13
77,Customer_77,1,3343.54
81,Customer_81,1,3469.58
14,Customer_14,1,4034.42
39,Customer_39,1,710.68
35,Customer_35,4,14911.14
90,Customer_90,1,2964.03
1,Customer_1,2,5615.63
43,Customer_43,1,2875.83
99,Customer_99,1,1056.59
93,Customer_93,2,8397.10
25,Customer_25,1,3718.05
34,Customer_34,1,707.05
57,Customer_57,2,3707.41
78,Customer_78,1,4355.36
15,Customer_15,1,3341.77
20,Customer_20,1,4131.78
24,Customer_24,2,5147.79
94,Customer_94,2,7479.15
11,Customer_11,1,4384.90
42,Customer_42,2,3277.72
50,Customer_50,3,4342.25
10,Customer_10,2,4807.43
80,Customer_80,1,4674.96
71,Customer_71,1,1431.45
60,Customer_60,2,2960.10
8,Customer_8,2,6956.08
92,Customer_92,1,848.88
17,Customer_17,1,1343.27
88,Customer_88,3,4197.06
86,Customer_86,1,1815.95
47,Customer_47,1,3888.73
54,Customer_54,1,1470.23
70,Customer_70,1,3166.77
22,Customer_22,1,2348.28
95,Customer_95,1,3429.46
65,Customer_65,1,4352.34
5,Customer_5,3,11502.94
84,Customer_84,1,1431.97
44,Customer_44,1,671.17
85,Customer_85,2,8983.25
53,Customer_53,2,4154.11
31,Customer_31,1,2960.45
82,Customer_82,2,3557.59
